230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_R2 a (speed [cm/min]) 0.62 b 2.678958943172708 chi2, rank, singular values, rcond (array([0.02757948]), 2, array([1.38474551, 0.28719311]), 1.667554982986985e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_R3 a (speed [cm/min]) 0.67 b 2.3559355434832057 chi2, rank, singular values, rcond (array([0.02132074]), 2, array([1.38277226, 0.29654826]), 1.127986593019159e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_R4 a (speed [cm/min]) 0.58 b 1.6081917196201103 chi2, rank, singular values, rcond (array([0.01171901]), 2, array([1.39170899, 0.25128884]), 9.459100169806334e-14)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_R5 a (speed [cm/min]) 0.66 b 2.3145561574425453 chi2, rank, singular values, rcond (array([0.02086174]), 2, array([1.38228273, 0.29882178]), 1.2967404927621828e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_L1 a (speed [cm/min]) 0.14 b 2.2429607587150615 chi2, rank, singular values, rcond (array([0.00175357]), 2, array([1.38486968, 0.28659375]), 1.8318679906315083e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_L2 a (speed [cm/min]) 0.19 b 2.7227618757193235 chi2, rank, singular values, rcond (array([0.00275671]), 2, array([1.38471408, 0.28734457]), 1.8629542353210127e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_L3 a (speed [cm/min]) 0.23 b 3.0095831863250884 chi2, rank, singular values, rcond (array([0.00208948]), 2, array([1.3847194 , 0.28731898]), 1.8629542353210127e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_L4 a (speed [cm/min]) 0.15 b 2.811284394316297 chi2, rank, singular values, rcond (array([0.00225232]), 2, array([1.38493839, 0.28626151]), 1.8496315590255108e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_L5 a (speed [cm/min]) 0.18 b 2.7066232104496404 chi2, rank, singular values, rcond (array([0.00373728]), 2, array([1.38491958, 0.28635249]), 1.8407497748285095e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_R1 a (speed [cm/min]) -0.2 b 2.9982144608929486 chi2, rank, singular values, rcond (array([0.00179621]), 2, array([1.38476583, 0.28709509]), 1.8629542353210127e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_R2 a (speed [cm/min]) -0.21 b 2.4352435976554676 chi2, rank, singular values, rcond (array([0.00137035]), 2, array([1.38478275, 0.2870135 ]), 1.8496315590255108e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_R3 a (speed [cm/min]) -0.15 b 2.731410816068667 chi2, rank, singular values, rcond (array([0.00134673]), 2, array([1.38472641, 0.28728518]), 1.858513343222512e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_R4 a (speed [cm/min]) -0.14 b 2.984086369249215 chi2, rank, singular values, rcond (array([0.00484993]), 2, array([1.38477166, 0.28706696]), 1.8629542353210127e-13)
230506_1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg5_R5 a (speed [cm/min]) -0.18 b 3.09356665823688 chi2, rank, singular values, rcond (array([0.00258214]), 2, array([1.38475689, 0.28713819]), 1.8607337892717624e-13)
