GA 1;;;;;;;;;;;;;;;;;;;;;
iteration no;robot no;frequency [Hz];length [mm];dye [%mol];thickness [µm];curl length [mm];laser power [W];right side [down 0. up 1];waveplate angle [deg];L1 [cm/min];L2 [cm/min];L3 [cm/min];L4 [cm/min];L5 [cm/min];R1 [cm/min];R2 [cm/min];R3 [cm/min];R4 [cm/min];R5 [cm/min];fitness function (max average);params
4;8;0.9;18;1;50;2;2.4;1;60;-0.56;-0.58;-0.8;-0.83;-0.77;0.51;-0.3;0.24;0.18;-0.51;0.708;0900mHz_18mm_1%0_50um_2mm_3000mW_1_090deg
5;1;3.3;18;0.2;50;3;2;1;7.5;0.42;0.51;0.01;0.48;0.36;-0.29;-0.32;-0.35;-0.3;-0.13;0.356;3300mHz_18mm_0%2_50um_3mm_2500mW_1_037deg
5;2;0.9;18;1;50;3;2.8;0;7.5;0.91;-0.68;0.47;0.05;-0.01;1.8;1.3;0.96;0.87;0.07;1;0900mHz_18mm_1%0_50um_3mm_3500mW_0_037deg
5;3;0.9;18;1;50;2;2.8;0;7.5;-3.37;-3.39;-3.76;-3.82;-3.69;4.56;5.17;5.02;5.19;5.22;5.032;0900mHz_18mm_1%0_50um_2mm_3500mW_0_037deg
5;4;0.9;18;0.2;50;3;2.8;1;22.5;0.29;0.43;0.18;0.21;0.31;-0.25;-0.25;-0.56;-0.31;-0.28;0.33;0900mHz_18mm_0%2_50um_3mm_3500mW_1_052deg
5;5;0.9;12;0.2;50;3;2.8;0;7.5;0.17;-0.06;0.15;-0.02;0.11;-0.3;-0.35;-0.43;-0.37;-0.73;0.436;0900mHz_12mm_0%2_50um_3mm_3500mW_0_037deg
5;6;3.3;18;1;50;1;2.8;1;60;0.06;0;0;0;0;0;0;0;0;-0.01;0.012;3300mHz_18mm_1%0_50um_1mm_3500mW_1_090deg
5;7;0.9;12;1;50;3;2;0;7.5;2.02;2.53;2.01;1.85;1.52;-0.18;-0.24;-0.07;-0.01;-0.14;1.986;0900mHz_12mm_1%0_50um_3mm_2500mW_0_037deg
5;8;3.3;18;1;50;3;3.2;1;60;-0.65;-0.56;-0.6;-0.01;-0.3;-0.29;0.3;1.68;2.41;2.29;1.278;3300mHz_18mm_1%0_50um_3mm_4000mW_1_090deg
;;;;;;;;;;;;;;;;;;;;;
PSO 1;;;;;;;;;;;;;;;;;;;;;
1;1;0.6;18;0.2;90;3;0.4;0;52.5;0.03;0.02;0.02;0.02;0.02;-0.03;-0.03;-0.03;-0.03;-0.03;0.03;0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg
1;2;3;18;0.2;50;1;0.4;1;0;0;0;0;0;0;0;0;0;-0.01;0;0.002;3000mHz_18mm_0%2_50um_1mm_0500mW_1_030deg
1;3;1.7;18;0.2;50;3;1.6;1;37.5;0.14;0.19;0.23;0.15;0.18;-0.2;-0.21;-0.15;-0.14;-0.18;0.178;1700mHz_18mm_0%2_50um_3mm_2000mW_1_067deg
1;4;0.2;6;0.2;90;3;1.6;1;52.5;0.04;0.01;0.03;-0.05;0.04;-0.03;-0.11;-0.01;-0.01;0.03;0.026;0200mHz_06mm_0%2_90um_3mm_2000mW_1_082deg
1;5;0.5;12;1;50;1;2.4;1;52.5;-1.11;-0.74;-1.11;-1.31;-1.55;1.28;1;1.54;1.04;0.77;1.164;0500mHz_12mm_1%0_50um_1mm_3000mW_1_082deg
1;6;0.7;6;0.2;90;1;3.2;0;7.5;0;0.04;0.3;0.35;0.3;0.55;0.62;0.67;0.58;0.66;0.616;0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg
1;7;4.3;6;0.2;50;2;2.4;1;75;0.03;0.14;0.01;0;0.04;-0.27;-0.18;-0.21;-0.11;-0.04;0.162;4300mHz_06mm_0%2_50um_2mm_3000mW_1_105deg
1;8;2.5;18;0.2;50;3;0.4;0;7.5;0;0;0.01;-0.01;0;0;-0.06;0;0;-0.08;0.028;2500mHz_18mm_0%2_50um_3mm_0500mW_0_037deg
2;1;0.1;6;0.2;50;1;0.4;0;0;0;0;0;-0.01;0.01;-0.01;-0.01;0;0;-0.01;0.006;0100mHz_06mm_0%2_50um_1mm_0500mW_0_030deg
2;2;0.1;12;1;50;1;2.8;1;67.5;0.31;1.52;0.84;-0.21;0.01;0.6;0.49;-0.04;0.19;0.34;0.494;0100mHz_12mm_1%0_50um_1mm_3500mW_1_097deg
2;3;1.5;18;0.2;50;3;1.6;1;37.5;0.01;0;0;0;0.02;0;0;-0.01;-0.01;0;0.006;1500mHz_18mm_0%2_50um_3mm_2000mW_1_067deg
